,TICKET_CARRIER,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,avg_price_0,avg_price_1,avg_price_2,avg_price_3,tot_passengers_0,tot_passengers_1,tot_passengers_2,tot_passengers_3,avg_dist_0,avg_dist_1,avg_dist_2,avg_dist_3,Airline.nane_0,tot_passengers_sqr_0,tot_passengers_sqr_1,tot_passengers_sqr_2,tot_passengers_sqr_3,QUARTER_0,avg_dist_sqr_0,avg_dist_sqr_1,avg_dist_sqr_2,avg_dist_sqr_3,AIRLINE_ID_0,Period_0,ID_0
196,AA,10397,10279,262.49275,301.549333333333,294.9096,300.452380952381,43,32,26,21,1043.0,1043.0,1043.0,1043.0,American Airlines,1849.0,1024.0,676.0,441.0,1,1087849.0,1087849.0,1087849.0,1087849.0,4,1,222
198,AA,10397,10423,214.043653846154,210.770537634409,219.397692307692,273.223604651163,136,116,169,106,921.0,921.0,1028.2027972028,1001.60465116279,American Airlines,18496.0,13456.0,28561.0,11236.0,1,848241.0,848241.0,1057200.99217566,1003211.87723094,4,1,225
200,AA,10397,10529,247.535,234.107142857143,201.517967479675,207.620689655172,2,7,140,148,866.0,1016.0,884.536585365854,897.336206896552,American Airlines,4.0,49.0,19600.0,21904.0,1,749956.0,1032256.0,782404.970850684,805212.268207491,4,1,227
206,AA,10397,10721,258.771333333333,214.720909090909,218.89204379562,195.58847133758,15,82,339,225,1581.33333333333,1020.78787878788,970.153284671533,987.165605095541,American Airlines,225.0,6724.0,114921.0,50625.0,1,2500615.11111111,1042007.89348026,941197.395758964,974495.931883646,4,1,235
207,AA,10397,10781,214.219230769231,223.533846153846,214.1,363.182857142857,13,13,9,7,1114.0,1097.61538461538,1019.33333333333,1083.57142857143,American Airlines,169.0,169.0,81.0,49.0,1,1240996.0,1204759.53254438,1039040.44444444,1174127.04081633,4,1,237
208,AA,10397,10785,240.0,341.32,215.925,286.556666666667,2,1,12,12,1001.0,1001.0,994.666666666667,995.5,American Airlines,4.0,1.0,144.0,144.0,1,1002001.0,1002001.0,989361.777777778,991020.25,4,1,238
211,AA,10397,10821,160.805,175.0475,172.969298245614,171.680120481928,2,17,89,143,671.5,597.5625,607.754385964912,586.759036144578,American Airlines,4.0,289.0,7921.0,20449.0,1,450912.25,357080.94140625,369365.393659588,344286.166497315,4,1,241
214,AA,10397,10874,184.5,203.166666666667,160.59375,120.676470588235,1,6,16,22,620.0,620.0,620.0,642.411764705882,American Airlines,1.0,36.0,256.0,484.0,1,384400.0,384400.0,384400.0,412692.875432526,4,1,244
217,AA,10397,11003,328.0,276.59962962963,351.025,318.485,3,28,14,8,1416.0,1211.33333333333,889.714285714286,864.25,American Airlines,9.0,784.0,196.0,64.0,1,2005056.0,1467328.44444444,791591.510204082,746928.0625,4,1,247
218,AA,10397,11042,233.75,271.0,182.837142857143,149.776590909091,2,5,44,52,656.0,656.0,675.238095238095,705.840909090909,American Airlines,4.0,25.0,1936.0,2704.0,1,430336.0,430336.0,455946.485260771,498211.388946281,4,1,248
219,AA,10397,11057,61.23,204.848529411765,228.428125,215.060421940928,1,38,517,672,226.0,226.0,226.0,226.0,American Airlines,1.0,1444.0,267289.0,451584.0,1,51076.0,51076.0,51076.0,51076.0,4,1,249
221,AA,10397,11109,203.673921568627,270.764848484848,298.352941176471,288.635757575758,54,34,17,34,1323.0,1323.0,1348.35294117647,1336.06060606061,American Airlines,2916.0,1156.0,289.0,1156.0,1,1750329.0,1750329.0,1818055.65397924,1785057.94306703,4,1,251
222,AA,10397,11146,241.0,296.0,278.740769230769,231.396666666667,1,1,13,3,447.0,447.0,589.307692307692,447.0,American Airlines,1.0,1.0,169.0,9.0,1,199809.0,199809.0,347283.556213018,199809.0,4,1,252
223,AA,10397,11193,375.29,227.187857142857,203.874047619048,213.135675675676,2,15,50,46,871.0,716.0,575.714285714286,602.756756756757,American Airlines,4.0,225.0,2500.0,2116.0,1,758641.0,512656.0,331446.93877551,363315.707815924,4,1,253
225,AA,10397,11267,224.89,241.924,260.740666666667,229.437931034483,1,10,18,40,846.0,671.0,618.8,604.620689655172,American Airlines,1.0,100.0,324.0,1600.0,1,715716.0,450241.0,382913.44,365566.178359096,4,1,256
226,AA,10397,11278,184.98,206.740857142857,152.927168141593,156.127009345794,2,36,281,131,785.0,726.428571428571,562.402654867257,585.056074766355,American Airlines,4.0,1296.0,78961.0,17161.0,1,616225.0,527698.469387755,316296.746201739,342290.610621015,4,1,257
227,AA,10397,11292,196.54,192.041012658228,235.557752808989,225.512424242424,97,93,106,112,1466.70512820513,1475.60759493671,1531.58426966292,1538.77777777778,American Airlines,9409.0,8649.0,11236.0,12544.0,1,2151223.93310322,2177417.7742349,2345750.3750789,2367837.04938272,4,1,258
228,AA,10397,11298,297.180880444856,213.288080469405,177.813040590406,202.362201754386,3331,3450,4545,4810,731.0,731.722548197821,734.99557195572,738.683333333333,American Airlines,11095561.0,11902500.0,20657025.0,23136100.0,1,534361.0,535417.887541112,540218.490794515,545653.066944444,4,1,259
229,AA,10397,11423,327.781176470588,283.789655172414,292.20303030303,228.872142857143,18,31,36,19,1230.64705882353,1109.96551724138,1101.42424242424,973.0,American Airlines,324.0,961.0,1296.0,361.0,1,1514492.183391,1232023.44946492,1213135.36179982,946729.0,4,1,260
230,AA,10397,11433,327.315,210.642,157.2957,148.095157232704,2,22,122,236,841.0,793.2,758.63,764.930817610063,American Airlines,4.0,484.0,14884.0,55696.0,1,707281.0,629166.24,575519.4769,585119.155729599,4,1,261
231,AA,10397,11503,331.212,228.923333333333,313.995454545455,337.539473684211,17,3,11,20,1452.0,1505.66666666667,1510.54545454545,1551.31578947368,American Airlines,289.0,9.0,121.0,400.0,1,2108304.0,2267032.11111111,2281747.57024793,2406580.67867036,4,1,263
232,AA,10397,11540,253.052727272727,370.688269230769,293.844301075269,320.319534883721,94,65,107,47,1282.0,1294.53846153846,1371.61290322581,1342.6511627907,American Airlines,8836.0,4225.0,11449.0,2209.0,1,1643524.0,1675829.82840237,1881321.95629553,1802712.14494321,4,1,264
234,AA,10397,11617,190.47,157.916666666667,238.373,292.357142857143,2,6,20,9,447.0,447.0,447.0,447.0,American Airlines,4.0,36.0,400.0,81.0,1,199809.0,199809.0,199809.0,199809.0,4,1,266
